Designator,Footprint,Quantity,Value,LCSC Part #,mã sp linh kiện chất lượngg,ma sp cxt
"C1, C10, C14, C2, C20, C22, C27, C28, C29, C3, C4, C5, C7, C8, C9",603,15,100nF,,CLA4098,
C11,603,1,1uF,,CLA4103,
"C12, C13",603,2,2.2uF,,CLA4104,
C15,603,1,0.1uF,,CLA4098,
"C16, C17",603,2,15pF,,CLA4082,
C18,603,1,22uF,,CLA4082,
C19,603,1,10uF,,CLA4107,
C21,805,1,150pF,,CLA4087,
"C23, C24, C30, C31",CP_EIA-3216-10_Kemet-I,4,22uF,,CLA1280,
"C25, C26, C32",CP_EIA-3216-10_Kemet-I,3,10uF,,CLA1284,
C6,603,1,4.7uF,,CLA4095,
D1,D_SMA,1,40V-5A,,,A022107
"D2, D3, D4, D5, D8, D9",603,1,LED,,CL07448,
"I2C, J1, ST-LINK",JST 4,3,Conn_01x04_Socket,,CLA1870(cái)-CLA1880(đực),
J12,jst,1,Conn_01x02_Socket,,"CLA1878(đực),CLA1868(cái)",
J5,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07_Pin,,"CLA1873(cái),CLA1883(đực)",
L1,L_7.3x7.3_H4.5,1,22uH,,CLA1397,
LS1,CUI_CMT-8530S-SMT,1,CMT-8530S-SMT,,,A081005
"MOTER-R, MOTOR-L",JST 6,2,Conn_01x06_Pin,,"CLA1872(cái),CLA1882(đực)",
Q1,SOT-23,1,S8550,,CL00852(đã có),
"R1, R2, R3",603,3,10K,,CLA0759,
"R10, R11, R19, R20",603,4,1K,,CLA0742,
"R17, R18",603,2,4.7k,,CL05810,
R21,805,1,1.1R,,CLA3613,
R4,603,1,210K,,,G080201
R5,805,1,40.2K,,,04Z3XP
"R6, R7",603,2,100k,,CLA0771,
R8,805,1,75k,,CLA3340,
R9,805,1,20k,,CLA3326,
"RESET, SW2, SW3",SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,3,SW_Push,,CLA1752,
"RN2, RN3",R_Array_Convex_5x0603,2,R_Pack05,,CL08484,
SW4,SW_DIP_SPSTx05_Slide_KingTek_DSHP05TS_W7.62mm_P1.27mm,1,SW_DIP_x05,,,A022606
U1,LQFP-100_14x14mm_P0.5mm,1,STM32H743VITx,,,
U2,SOT-223-3_TabPin2,1,AMS1117,,CL00249,
U3,SOP65P760X160-24N,1,TB6612FNG_C_8_EL,,,
U4,SO-08POWER,1,MP1584,,,A081105
U5,SOT-223-3_TabPin2,1,AMS1117-5.0,,CL00250,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND23_Small,,,
