Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C14, C2, C20, C22, C27, C28, C29, C3, C4, C5, C7, C8, C9",0603,15,100nF,
C11,0603,1,1uF,
"C12, C13",0603,2,2.2uF,
C15,0603,1,0.1uF,
"C16, C17",0603,2,15pF,
C18,0603,1,22uF,
C19,0603,1,10uF,
C21,0805,1,150pF,
"C23, C24, C30, C31",CP_EIA-3216-10_Kemet-I,4,22uF,
"C25, C26, C32",CP_EIA-3216-10_Kemet-I,3,10uF,
C6,0603,1,4.7uF,
D1,D_SMA,1,40V-5A,
"D2, D3, D4, D5, D8, D9",0603,6,LED,
"I2C, J1, ST-LINK",JST 4,3,Conn_01x04_Socket,
J12,jst,1,Conn_01x02_Socket,
J5,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07_Pin,
L1,L_7.3x7.3_H4.5,1,22uH,
LS1,CUI_CMT-8530S-SMT,1,CMT-8530S-SMT,
"MOTER-R, MOTOR-L",JST 6,2,Conn_01x06_Pin,
Q1,SOT-23,1,S8550,
"R1, R2, R3",0603,3,10K,
"R10, R11, R19, R20",0603,4,1K,
"R17, R18",0603,2,4.7k,
R21,0805,1,1.1R,
R4,0603,1,210K,
R5,0805,1,40.2K,
"R6, R7",0603,2,100k,
R8,0805,1,75k,
R9,0805,1,20k,
"RESET, SW2, SW3",SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,3,SW_Push,
"RN2, RN3",R_Array_Convex_5x0603,2,R_Pack05,
SW4,SW_DIP_SPSTx05_Slide_KingTek_DSHP05TS_W7.62mm_P1.27mm,1,SW_DIP_x05,
U1,LQFP-100_14x14mm_P0.5mm,1,STM32H743VITx,
U2,SOT-223-3_TabPin2,1,AMS1117,
U3,SOP65P760X160-24N,1,TB6612FNG_C_8_EL,
U4,SO-08POWER,1,MP1584,
U5,SOT-223-3_TabPin2,1,AMS1117-5.0,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND23_Small,
